power_nW,transmission,fwhm,fit_error,source_file
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,0.0015147423913911549,0.0025973694967574693,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
1,5,,,fwhm_1nW_240221SIL_Puppy_hindleg_red1nW_Top20nW_Trans05.txt
